"Dataset","Type","KC","Intercept","Slope"
"ds1943","KC","3_6_equilateral","-1.70398077385737","0.114297031168543"
"ds1943","KC","3_6_isosceles","-3.24025852978749","0.0885749873293968"
"ds1943","KC","angle_of_elevation","-3.6297799599623","0.400242064517042"
"ds1943","KC","angle_theorems","1.16741565654948","0.0920945423663419"
"ds1943","KC","CircleArea","1.54053831555118","-0.0131936413781708"
"ds1943","KC","CircleArea-BACK","0.461899296554491","0.012808761462206"
"ds1943","KC","classify_tri_angles","1.27299893747255","-0.0466625226496076"
"ds1943","KC","classify_tri_sides","0.956937172834958","-0.0417315736365703"
"ds1943","KC","classify-alt-exterior","1.56988553499675","0.0069395748160445"
"ds1943","KC","classify-alt-interior","0.775861792761771","-0.00591141813565222"
"ds1943","KC","classify-alternate-exterior","1.57506272798577","-0.0815028904598934"
"ds1943","KC","classify-alternate-interior","1.04662133304716","-0.0464852416158171"
"ds1943","KC","classify-cons-interior","0.363256268628747","0.0621011067536197"
"ds1943","KC","classify-consecutive-interior","0.443643140183782","0.0912258534435936"
"ds1943","KC","classify-corresponding","0.946854204979876","0.0419219887002589"
"ds1943","KC","CongAngle","0.84813712414827","-0.0585478061591849"
"ds1943","KC","CongProof_Reason","-1.54221659467504","0.00665343862707693"
"ds1943","KC","congruence_postulates","-1.92518915547621","-0.0232361856133681"
"ds1943","KC","congruent_tri","-0.676451107019845","0.00416797662670457"
"ds1943","KC","CongSegment","0.211033694207759","0.00899096257476879"
"ds1943","KC","CongTriangle","0.85181931993633","-0.139502495938599"
"ds1943","KC","diff_xcoord","0.591944063647782","-0.0496021075680807"
"ds1943","KC","diff_xcoord_nolabel","-0.0658896666873743","-0.0514576256052947"
"ds1943","KC","diff_ycoord","0.609075122422175","-0.054267706734445"
"ds1943","KC","diff_ycoord_nolabel","-0.220322272722755","-0.00887398659227586"
"ds1943","KC","equilateral_algebra","0.263288745061042","-0.0722726602038602"
"ds1943","KC","find-angle-algebra","-1.54789771012541","-0.0224655753973692"
