"Dataset","Type","Student","Intercept"
"ds406","Student","Stu_0016772e1ff073adb16b9d44a22fb744","0.430737076080141"
"ds406","Student","Stu_0194fcb40665bd6b12ca795771a6623d","0.0266295677462888"
"ds406","Student","Stu_0209d7eb8f15d029536d2113ec0d49e7","-0.159316129811766"
"ds406","Student","Stu_025b4ba4dbcc6f547202b183a08bc88c","-0.216543775846055"
"ds406","Student","Stu_029e0d68f2758f8bbd4cebe985c65258","-0.280210639100458"
"ds406","Student","Stu_02a56fd2b06db4c7532138df218e6d43","-0.186341064720625"
"ds406","Student","Stu_02d0b38145abdb216b0a0e0182e5a156","-0.422700973198557"
"ds406","Student","Stu_02fabe18c7848bdeccc84d5d4722dd1b","0.222490977107208"
"ds406","Student","Stu_0330055e9b50be3147b292d7b0224a86","0.428992642334299"
"ds406","Student","Stu_0454c356cbbbea78875b9f856fdd98a2","0.205396782604333"
"ds406","Student","Stu_045d3ba8b957824e352e2781e81c3a83","-0.05832742028201"
"ds406","Student","Stu_04d4fe71a0fde922b3095ca09ad2b237","0.331567654327542"
"ds406","Student","Stu_05245a09fa48053df87ed971ca50dcf3","0.0231115270624679"
"ds406","Student","Stu_05b8c15889eeee7d942fc0c5699d0316","-0.0192233357619554"
"ds406","Student","Stu_05d6c858f795cf8906459f8881e46230","0.0313536229611884"
"ds406","Student","Stu_062de3bd6f6bf15d9bde9daf2320b4a0","0.0843572537093868"
"ds406","Student","Stu_06b60798e480ec680faa806333afb996","0.0610136914507754"
"ds406","Student","Stu_06c6a3b56cafcc79e9049fda24965d63","0.0450290960040175"
"ds406","Student","Stu_06c81c76605001a22f6a3168f0a1bbd4","0.10128725637424"
"ds406","Student","Stu_06e63a35554bb66c7831412fa49ca20c","-0.248997218130168"
"ds406","Student","Stu_06e85e2c8bf40a772edb28060716db77","-0.0889157746639049"
"ds406","Student","Stu_07a926462cf1883bf90e3559463ed483","-0.0158776519653146"
"ds406","Student","Stu_094a93ba9f4d7ac5444acc08a15f7d83","0.204542548512866"
"ds406","Student","Stu_09943c367c7c297842a82ce38c57bbe4","-0.163474503187433"
"ds406","Student","Stu_09ae011b296eb028ace495cd727f2512","0.177187476263818"
"ds406","Student","Stu_09c416b1fe274e6ea823a312e804d8d8","0.257718174739191"
"ds406","Student","Stu_09e744ed304ed1a59fc64a7687da4ba5","0.458004490718121"
"ds406","Student","Stu_0a672634f22b9845c5156aaad9e141e6","0.342408431345818"
"ds406","Student","Stu_0b9952bd5b96b7a94db1ed84955a6691","0.447311760960997"
"ds406","Student","Stu_0bab4d0f246ed12492737df55a188126","0.360871638236449"
"ds406","Student","Stu_0bb73a9767e38003d3bde682f5bc6013","0.327294959445248"
"ds406","Student","Stu_0bb965fc986d5adba21a20a443f8a6e0","0.289265125548519"
"ds406","Student","Stu_0c518aa6952352cc93db6b757c7e465b","0.135089908989251"
"ds406","Student","Stu_0c6c7495d02accaf41bc6dced257b9e3","0.131576797530744"
"ds406","Student","Stu_0c7c2ad6b1db539a9478e18bde338c3a","0.22767900033091"
"ds406","Student","Stu_0c7f30a983fa48f4ab46b86e090162ca","-0.130067997765964"
"ds406","Student","Stu_0d07592f7738b2a4143fcc48972a3d00","0.154626249856407"
"ds406","Student","Stu_0dee7ec4a3c1eef5462ce0564570b706","0.662468479267558"
"ds406","Student","Stu_0e7c7af49d8083cf686d4062922491ae","-0.118765463114654"
"ds406","Student","Stu_0eb4646a69adc87504f8bafa9f6e54ec","-0.169409964669186"
"ds406","Student","Stu_0eba7a552490d9802eb55c7fbe9ec161","-0.0744486019442998"
"ds406","Student","Stu_0ef9af5e557327a08301c73196c77895","0.0988717638560585"
"ds406","Student","Stu_0f22fe84790900d08bcf5565e49d2770","0.248599857353078"
"ds406","Student","Stu_0f319906ab32e2996174b488bd10c8e2","-0.115285405737446"
"ds406","Student","Stu_0f538bf644883102b2b3435950982458","-0.169941071050117"
"ds406","Student","Stu_0f983d788f48996d51e1b068448fb3af","-0.339565190598899"
"ds406","Student","Stu_100977ba10960fb573e0c1a30288f049","-0.0502939033385601"
"ds406","Student","Stu_10e53a0e7310c4a9e6ce67a817afb5e3","0.0370830806360596"
"ds406","Student","Stu_110473eb3d000e6fdab7d2de70e2e53f","0.395395641172168"
"ds406","Student","Stu_11089a18e6dcec6ada0979c30027d47f","-0.0083775016224355"
"ds406","Student","Stu_11467c620c1a2f219035b2365c4061e3","-0.133648535838906"
"ds406","Student","Stu_1150447aa9173b45658907d3665bec58","-0.295030387521431"
"ds406","Student","Stu_1165672feb94a1eab33e3c0ffb765974","0.275422077804256"
"ds406","Student","Stu_117fa9c94d887eee3dc0dece8a77a4c2","-0.517546350829217"
"ds406","Student","Stu_12b8bdb42508a93d6c947b2701313362","-0.235148450932476"
"ds406","Student","Stu_12c0cd273eb9cd0381821240f007aaf4","0.308774070888365"
"ds406","Student","Stu_12e4e4e10c399f70e41bad4d3ed47b7c","0.365427749661028"
"ds406","Student","Stu_133a7d2af805eceb89d40b8d4c8f3c1e","0.265111225308367"
"ds406","Student","Stu_136412152c89c6a9046323a04a353dc5","0.0989589540783103"
"ds406","Student","Stu_139b245191b20361efa9165220751800","-0.412074747983092"
"ds406","Student","Stu_14b7fce2f1c20c2c9a4fcdb4b68651e6","0.113448849667394"
"ds406","Student","Stu_15aea36fe002e1b6fe9f139684eba0ab","-0.042868193679926"
"ds406","Student","Stu_15b460f8f16c805a1cef4526672fda5b","0.303830389131937"
"ds406","Student","Stu_16382e8dc0921d9fbe3e67eac0af340f","0.161989348293517"
"ds406","Student","Stu_173b92e784dcc3422cbc7bc9d8c64f51","-0.0309435999014403"
"ds406","Student","Stu_17d6e1dd255ef2fba3de1ba9ce98ccdf","0.290315961141347"
"ds406","Student","Stu_18065b3ba85f296640a9a50c68e6a2fe","-0.198279499606931"
"ds406","Student","Stu_183ee766052dc71f4a6a5eb8346ef83e","-0.251152023961939"
"ds406","Student","Stu_18d04710ae31b2df81e2633e4e467ede","0.096936230822498"
"ds406","Student","Stu_18d80d61abab5b44d38342267f675ab2","0.202891232816101"
"ds406","Student","Stu_19712f85fdd62b164c9622b2c1836772","0.14083069704763"
"ds406","Student","Stu_1a6b018f812244327b7a93553a2a8975","0.202347393121639"
"ds406","Student","Stu_1ac16334955dc9796ec2aa24a67b8f49","0.120856686106364"
"ds406","Student","Stu_1b14e63b25945138032711a382677e59","0.0459861726056298"
"ds406","Student","Stu_1c49a4dba46d463f9851adf9d730eb25","0.278962275002521"
"ds406","Student","Stu_1cb1e5c45fa84c5c4b5e49fe224df0eb","0.14701216330864"
"ds406","Student","Stu_1d001e16b9a78991ad698c574980165d","-0.0429501924542283"
"ds406","Student","Stu_1d867341793529b0bcc546e912635b41","-0.00377352486500025"
"ds406","Student","Stu_1d9419dd97048a7243d5d61d32ab066b","-0.0352339856234205"
"ds406","Student","Stu_1dc3955c70c2e261971d6dc20a4d136c","-0.010798675677053"
"ds406","Student","Stu_1dd38780489fc17817ce6da506305093","0.441302503027001"
"ds406","Student","Stu_1dd432717c8d7ccf956371073cb58a4c","0.390601357753465"
"ds406","Student","Stu_1dea263f93b6aec618a4b00b28c7db8e","-0.477282681591568"
"ds406","Student","Stu_1e0286943862499406c900da32f18c5e","0.322803779174589"
"ds406","Student","Stu_1e0345584bf724d3e32baf0a1da8b46c","-0.117081306454534"
"ds406","Student","Stu_1e1738104ffe5d6e0ba262e953f76543","-0.858319555645162"
"ds406","Student","Stu_1e28e2d1573b75098d1f63e8cc6bce9c","-0.35561886126333"
"ds406","Student","Stu_1e450bd4fa2b32a58a8d73708ebcdd03","-0.324243274251434"
"ds406","Student","Stu_1ea48a0d9903a7ab48cdd0a3d20327b1","0.0515753947016688"
"ds406","Student","Stu_1f6cea84067369af0480896e1f0de0e8","0.137946067973402"
"ds406","Student","Stu_1f88592a4837fb696364b93dc4c98206","0.192371938581826"
"ds406","Student","Stu_1fa0075c7c09a97bee2916f7474838a7","-0.810201665254262"
"ds406","Student","Stu_204fd18e657b84825767c1339cab9b46","0.447732409462654"
"ds406","Student","Stu_2077ef5d9db474cc824b34a1baa5cce2","-0.221171547335151"
"ds406","Student","Stu_20afce1e03f9fda042f4df4bc5098070","0.316871848524137"
"ds406","Student","Stu_20e72bf400654db83576a335371b9013","0.158265866222369"
"ds406","Student","Stu_20ff15ff50cbdb68c767894ab0260c69","-0.0151793765932893"
"ds406","Student","Stu_214cdaeb655ab011a19266f55427b39a","0.075722687811555"
"ds406","Student","Stu_216992092a9bf38f328123abec906871","0.154114831626265"
"ds406","Student","Stu_219f7d7484e76ab13ebf936455f6d76a","0.132168646714641"
"ds406","Student","Stu_21f7796364aaa1d4fe008517b20dd7b4","0.224916802408895"
"ds406","Student","Stu_2206fed2f62ed33c7404ce0982be3207","0.162204747341253"
"ds406","Student","Stu_221a9b2b3f3429870a28079c2917f5f9","-0.382381405470991"
"ds406","Student","Stu_22acddf26dd2eb9b263a69a19335e5dc","0.221920522559072"
"ds406","Student","Stu_22cf0d68594e485057fb64e96313e8d5","0.15143494848004"
"ds406","Student","Stu_2331ed88603accb33d77d67a306bd344","0.224918898680118"
"ds406","Student","Stu_2355852f32328e733d63f30ea8868c6c","-0.360370493498935"
"ds406","Student","Stu_23781ab2460f60e0a5fdf229116fc41a","-0.144604627664368"
"ds406","Student","Stu_24649876c1f6f363646ec91a2e65e368","0.173785013770156"
"ds406","Student","Stu_2488dc1749f46b1ca119f810c3ba8a44","-0.23282306557903"
"ds406","Student","Stu_2490e0a486f434f2758e727ada4ff264","0.424492097391401"
"ds406","Student","Stu_2494018c2fc077163b95aabe17226154","-0.135222942142766"
"ds406","Student","Stu_2496d09a0e8b7cd0643515aaba35f9ec","-0.567877106436909"
"ds406","Student","Stu_24e848941120fd1de771a774bb021c31","0.152732908938814"
"ds406","Student","Stu_25d509b03395507bb57f9fa5a9bd1bc8","0.160678988777659"
"ds406","Student","Stu_25f65a90c1acbc32c6b61995b85e2eac","-0.000658712570236747"
"ds406","Student","Stu_2690dd8c62074d57cfd8e2f31f07db2f","0.128357893252157"
"ds406","Student","Stu_26b28e270ee439745e08a678735e1839","0.062626395148977"
"ds406","Student","Stu_272bb2efdda554e7d9ad5001f460f68e","0.161029887311345"
"ds406","Student","Stu_272d9df734b7bf6e23203921a75569a3","0.185217458963143"
"ds406","Student","Stu_27463c11644ca239258cd0a3503257b6","-0.204647821565085"
"ds406","Student","Stu_27604f0ac3dbc0331f5778d130d3eec9","-0.015733281298584"
"ds406","Student","Stu_2761d0f66229760af7395d9c053ad282","0.508907149608231"
"ds406","Student","Stu_276d6ac1ee5964ffc4db0612f4f4c838","0.0032370116637784"
"ds406","Student","Stu_2807e1ae3c33694cdb192b16bdf58c49","-0.00898784300252116"
"ds406","Student","Stu_285589ee218643974a65f2c8c23703f5","-0.331959400250928"
"ds406","Student","Stu_28cbcc91afe40cb1d8d365a3031c43d4","0.311175050805774"
"ds406","Student","Stu_28d9d2dcf619f4b8276abe47685ab775","-0.322228958729745"
"ds406","Student","Stu_2940c302f53f515446734eeb6c9af419","0.159918059477443"
"ds406","Student","Stu_295e5ac373e91ec30813df4965a9e049","0.339210828059714"
"ds406","Student","Stu_2a1345b5e65598d339afaed80f7c0edd","0.395266722171311"
"ds406","Student","Stu_2a2b7195c6a9c1514dac8e0833136635","0.390691771274739"
"ds406","Student","Stu_2a42717be18e9c5ec582ec2a2db42004","-0.324765652246719"
"ds406","Student","Stu_2b56c78bfb33cffb9023d35897229d43","0.0345362496612415"
"ds406","Student","Stu_2bc5ab644fe95a21151ac2c3c8faadbf","0.129327092696854"
"ds406","Student","Stu_2bd7ff04d13c02a1b230b582a01d41d1","0.431564076779627"
"ds406","Student","Stu_2c3a146deb1939b6cb9ca86d6bd698b9","0.196456469345502"
"ds406","Student","Stu_2ca5616ad9dc28423d00174a58f73e7c","-0.312908695919602"
"ds406","Student","Stu_2ce000adc4955c79f86c1bef956fb793","0.287184503392514"
"ds406","Student","Stu_2d14b57f9e9865951225039873ad8f75","0.0435513586206292"
"ds406","Student","Stu_2d14cb3bec44a2a0df4e12556d161a1c","-0.186054208697634"
"ds406","Student","Stu_2d1bd5bb925c9649f90382281a9a9e55","0.196464809107823"
"ds406","Student","Stu_2dcd834bff0f32d33777172b80876a43","0.0403218444252474"
"ds406","Student","Stu_2dd5e710d2adc0633b91d24cd111ccba","-0.198194808891518"
"ds406","Student","Stu_2e8fd7ca6fc8b3b18870b499c9dac21c","0.128330807809514"
