"Dataset","Type","Student","Intercept"
"ds115","Student","Stu_030458dc7f5b93604de713b8f0595006","0.603487602555632"
"ds115","Student","Stu_032e1ecce3f805b5e3ab3884154068e3","-0.0493235236323704"
"ds115","Student","Stu_049e05a8f6b3b5eb958721e6c5cfe75a","0.427921427060933"
"ds115","Student","Stu_080fe8f22a7b88dbda214761b6760364","0.188591810441105"
"ds115","Student","Stu_0b174d7bee3983723f70e122ba287cc7","1.30648269404424"
"ds115","Student","Stu_0d2c371498ec2851baba189c6d56d702","-0.0461724691803831"
"ds115","Student","Stu_177099c0e4631bb00936c32b7966fb34","0.620202343973947"
"ds115","Student","Stu_1c77165984aa638da0f48cdebe36e7fa","-0.372355882923171"
"ds115","Student","Stu_1e4597cb0bd5a9ab6a9fe4024c21d609","0.452711301715956"
"ds115","Student","Stu_249fb3894fd670e9451cfe5294a7014b","0.0125550027253477"
"ds115","Student","Stu_259ec68894d7eadbdfa6a0477caf418f","0.191303849189345"
"ds115","Student","Stu_26edaeddeb070a2f2de285ae5125f497","0.584644482349967"
"ds115","Student","Stu_29972ae0c7593bcab4865157466ea6e0","-0.215618646470178"
"ds115","Student","Stu_29ba7303e7c02103a64e9d1b71149c53","-0.0429090935857316"
"ds115","Student","Stu_2e90c8217895d12b590f9217606d5032","-0.372305282967799"
"ds115","Student","Stu_378391708463addf9917e9794d0c8427","0.88275727294767"
"ds115","Student","Stu_39506dd92d53f0d12e58fac8faca3fdc","0.796791379554974"
"ds115","Student","Stu_3c5468803b7ec059da6f8ae3196fd856","-0.338929925855143"
"ds115","Student","Stu_3e98398fbd31db9b3a58f520b96a0ae6","-0.933712231659729"
"ds115","Student","Stu_4233bad6386d416c3d3b3eea9b543b1d","0.51596317378958"
"ds115","Student","Stu_4265fc2c834d4c78df1ece2b71150807","0.519611465293925"
"ds115","Student","Stu_4374325d69dfd56f911adce7f1265953","-0.198463850405778"
"ds115","Student","Stu_43f1042bc225c5aa843bc53844160aad","-0.0817306014248719"
"ds115","Student","Stu_4b24cb04d7d82bfb389c793aaba89b3f","1.27300052111914"
"ds115","Student","Stu_4eb9aff94ef276f875454105e9bafa13","0.341172076245798"
"ds115","Student","Stu_54273008103a46a489a01418c46ccd21","0.50403215384764"
"ds115","Student","Stu_59322a0e741b5d2e628c7a9f3b41973e","-1.81651479002367"
"ds115","Student","Stu_597fca90504feb34af2a9651fa2946ee","0.115304712591534"
"ds115","Student","Stu_5dbffa4533795491cc1a9260796a86a9","0.401836802967593"
"ds115","Student","Stu_67edfafc3aea3d5d6fb19c0bda152870","0.197663025236161"
"ds115","Student","Stu_699f667ba6f7e84f4b818162cd16b2d9","0.230795459913255"
"ds115","Student","Stu_706104c4d6ef81c0ceb39b4430e80700","-0.656134628835439"
"ds115","Student","Stu_7151bcc000e6b3bcfa2c69ad0d325b00","0.0285932756672852"
"ds115","Student","Stu_75f23c3a22d893966622fd6900721128","-0.696066073344344"
"ds115","Student","Stu_78da5fc6b6229bb02e87f162c9be96c8","0.366465475131024"
"ds115","Student","Stu_7ce45ff5abc46358e5b33c766cfcc4fb","-0.390568083603981"
"ds115","Student","Stu_81b484dd437e451a613410ee52b3e31b","-0.23210336960055"
"ds115","Student","Stu_88e1c38ef5b3875ea4d77f9ca479814a","0.334610945588204"
"ds115","Student","Stu_8d6f5b31fd7fa907289a11a209a0cdab","-0.0622057532739481"
"ds115","Student","Stu_8ecf362adbf1f609e7d541868c54b2b3","-0.534719315148994"
"ds115","Student","Stu_9049feae58a3a1712a09792a8b08f2a8","-0.396354193733273"
"ds115","Student","Stu_931aceafbe22be1fd89261581e518a5c","-0.433911587743229"
"ds115","Student","Stu_97b8da33da4498ffce16af4f96e8b740","-0.511826473866805"
"ds115","Student","Stu_9aeaac5a36bde1a6e61f3a8bb2b5732b","0.690393837917974"
"ds115","Student","Stu_a41a86736799d3c0d20e909823e97368","0.189130156945529"
"ds115","Student","Stu_a66e44dfae1bc21dd2448107a07ca5a4","0.571726703872318"
"ds115","Student","Stu_acec61751831f6011986ac5b1b54e5ea","-0.756766491012237"
"ds115","Student","Stu_b5d0b9da3b3ad38949184e7e8adc834b","0.293359437777537"
"ds115","Student","Stu_bb776c96dc9d7d03a9fad446266d5008","-1.37105927988472"
"ds115","Student","Stu_c0abfa5156d4427c83fe58b6b3f0c8d0","-1.01286755087904"
"ds115","Student","Stu_c2463c7ff0aab942019cfff856a9219f","-1.44507189002261"
"ds115","Student","Stu_c2728666780878f98e62871ab25ead6b","-0.319644035013563"
"ds115","Student","Stu_c3042ad48aff0c36d0846df05cd69a17","0.756104826668896"
"ds115","Student","Stu_c66becf9d206dc020da2d82621b9bfac","0.763742211233224"
"ds115","Student","Stu_cad8d62c8d50bcf6df69bff95bb1fb75","0.100715040760356"
"ds115","Student","Stu_caed9cfd3442be9b55da24560241f60e","-0.296168771147864"
"ds115","Student","Stu_d5379c7f071edf4274af37743a9bd680","-0.782737655292482"
"ds115","Student","Stu_d80ee48648a401af6d7a92e6022eb2f3","0.289329742666461"
"ds115","Student","Stu_da9a2d474ed0bff6db8d1e55967162fd","-1.09080853997829"
"ds115","Student","Stu_dcd1c6144c48a6a7f2b173632b4b6c11","0.855895092724273"
"ds115","Student","Stu_ddb8e48700c3f631ff31546d43cf6246","0.277968164379167"
"ds115","Student","Stu_de91266129f97706d9aebf7aa36979e4","0.0427287669835099"
"ds115","Student","Stu_e26c0b76a72cba412f8b38612d468f43","-0.246634509837836"
"ds115","Student","Stu_e6cbddd25b95cedafdf8ebab4e445ef4","-0.186625112862391"
"ds115","Student","Stu_e865a643e86e233e014937885e56bb13","-0.285273669348531"
"ds115","Student","Stu_ee1700eb28a2c0c40994aa1713f0bd73","-0.0175128085929499"
"ds115","Student","Stu_ee275e658a8050951de8aafbdbd54409","0.244951823482348"
"ds115","Student","Stu_ee41f93767cc7b437a4a1ff0ad19ea13","-0.108404981593766"
"ds115","Student","Stu_f334431b68949f1f591cf7be23da11c0","0.437762548379743"
"ds115","Student","Stu_f3e037871f7dfc7894aa6d4d7e7dfb46","0.917121962134244"
"ds115","Student","Stu_f8938ecbf4cc9b78eae7e12103e61e6f","-0.768513242116666"
"ds115","Student","Stu_fd95cbc275bbf5c0a5e2b58d88cfd136","-0.370788588784295"
"ds562","Student","Stu_013b3d3a047249ac1433b15ee6002f4e","0.257482718351465"
"ds562","Student","Stu_093228f3b90d3279c992b429fe73c9db","0.0899189775638581"
"ds562","Student","Stu_0ca125e3416870c659cc22b4973cc4b0","0.10771481036973"
"ds562","Student","Stu_11442f06a04eb9d12879afd7f1f26445","0.153814287003639"
"ds562","Student","Stu_1e27d12339e6928c0e36235787b01f5d","-0.174730297962796"
"ds562","Student","Stu_1ec4244d988d277e3afb4fac6880b58a","0.0448512889536897"
"ds562","Student","Stu_31b26db2faa0e4f398d5f64310d625c2","0.75561179639164"
"ds562","Student","Stu_361af3eb70ea69e46a3119af13b6d7bb","0.129824535355479"
"ds562","Student","Stu_38fa1b73a3a8758c0fce113b7e4d6cac","-0.588709127394646"
"ds562","Student","Stu_3bea4e3166854c8da25dcca4622ae71e","0.388179371531356"
"ds562","Student","Stu_3cb029c4a9841dbcad68dc5e741c520d","-0.485289698676935"
"ds562","Student","Stu_3db8b4b3a3b4910b7b112fe71107a4e8","-0.267055228928846"
"ds562","Student","Stu_3ed4d9c485d7ba51770546acbc26e853","0.334690573597828"
"ds562","Student","Stu_44f0654095021e355f402686ca94d462","0.0136083075452139"
"ds562","Student","Stu_4528b5983563cf525849da010f909572","-0.155352722668617"
"ds562","Student","Stu_4c823e8d41e90e104868383fe95181ac","0.384507054864229"
"ds562","Student","Stu_4c9b00b8ee0c2f54c8833990480743e4","-0.531363624803998"
"ds562","Student","Stu_4e162e16d2cad68ba6b31314d5e4d02f","-0.368974396465681"
"ds562","Student","Stu_5100bcce267284f982d1748f91f548db","-0.477034961966801"
"ds562","Student","Stu_525ba57e49687186ad11044965e3abcf","0.364716334413679"
"ds562","Student","Stu_59e32127218cac649f9379aa0794d6a9","0.538944408992568"
"ds562","Student","Stu_61becea91ff2e792a89fc2dc70b5ec11","-0.173763237476402"
"ds562","Student","Stu_633789c559984b53dbf70667e3b2c6db","-0.0227525406781362"
"ds562","Student","Stu_66595c68c29f4884ac10be7717579612","0.403098012848728"
"ds562","Student","Stu_67d8211cca82f3eb00796f270ba25a92","-0.00358591382336408"
"ds562","Student","Stu_6c6192328b357d91092b543332747c18","0.856449659823845"
"ds562","Student","Stu_6ef498377bb7fb0750cff7b196a4fb9c","0.802722624679803"
"ds562","Student","Stu_6f172169c9afd473931c032c523e8e70","0.159334875224017"
