Dataset,kcm,ds name,Opportunity,KC,StudentStep
99,LFA_AIC_LIB_Model0,Example sch_a3329ee9 Winter 2007,Opportunity (LFA_AIC_LIB_Model0),KC (LFA_AIC_LIB_Model0),ds99_student_step_All_Data_211_2016_0423_082151
104,Default2,Self Explanation - Electric Fields - USNA - Spring 2006,Opportunity (Default2),KC (Default2),ds104_student_step_All_Data_218_2016_0406_071258
115,Response,Chinese Vocabulary Transfer Lab Study Spring 2007,Opportunity (Response),KC (Response),ds115_student_step_All_Data_256_2016_0406_071409
253,LFASearchAICWholeModel1,Geometry Area sch_5a9ce22a 2005-2006 Unit 34,Opportunity (LFASearchAICWholeModel1),KC (LFASearchAICWholeModel1),ds253_student_step_All_Data_732_2016_0406_071948
271,Main-KC7-split,Assistments Math 2007-2008 Symb-DFA,Opportunity (Main-KC7-split),KC (Main-KC7-split),ds271_student_step_All_Data_820_2016_0406_072042
308,LFASearchModel1,Statistical Reasoning and Practice Fall 2009,Opportunity (LFASearchModel1),KC (LFASearchModel1),ds308_student_step_All_Data_926_2017_0224_013931
1980,LFASearchAICWholeModel1,IWT Self-Explanation Study 1,Opportunity (LFASearchAICWholeModel1),KC (LFASearchAICWholeModel1),ds1980_student_step_All_Data_3716_2016_1202_145121
372,Default_corrected,IWT Self-Explanation Study 2,Opportunity (Default_corrected),KC (Default_corrected),ds372_student_step_All_Data_1182_2016_0405_140426
1899,Main-KC7-split_renamed-PVfixed-models,Assistments Math 2008-2009 Symb-DFA,Opportunity (Main-KC7-split_renamed-PVfixed-models),KC (Main-KC7-split_renamed-PVfixed-models),ds1899_student_step_All_Data_3646_2017_0301_011213
392,KTskills-Mcontext-single-sep-ind-areas,Geometry Close-The-Loop,Opportunity (KTskills-Mcontext-single-sep-ind-areas),KC (KTskills-Mcontext-single-sep-ind-areas),ds392_student_step_All_Data_1310_2019_0802_022703
394,LFASearchAICWholeModel1,IWT Self-Explanation Study 3,Opportunity (LFASearchAICWholeModel1),KC (LFASearchAICWholeModel1),ds394_student_step_All_Data_1312_2016_0401_114050
445,LFA_AIC_Model0_v2,Digital Games for Improving Number Sense,Opportunity (LFA_AIC_Model0_v2),KC (LFA_AIC_Model0_v2),ds445_student_step_All_Data_1469_2016_0403_085520
1980,LFA_BIC_Model0,OLI Engineering Statics - Fall 2011 - CMU (74 students),Opportunity (LFA_BIC_Model0),KC (LFA_BIC_Model0),ds1980_student_step_All_Data_3716_2016_1202_145121
562,new_supportType_topic,Rau Fractions Dataset Fall 2011 (condition GF MIX),Opportunity (new_supportType_topic),KC (new_supportType_topic),ds562_student_step_All_Data_1788_2016_0413_074846
563,new_topic,Rau Fractions Dataset Fall 2011 (condition MGR),Opportunity (new_topic),KC (new_topic),ds563_student_step_All_Data_1789_2016_0413_081655
564,new_topic,Rau Fractions Dataset Fall 2011 (condition MIX),Opportunity (new_topic),KC (new_topic),ds564_student_step_All_Data_1806_2016_0413_084029
565,Default_topic,Rau Fractions Dataset Fall 2011 (condition NL),Opportunity (Default_topic),KC (Default_topic),ds565_student_step_All_Data_1791_2016_0418_132659
566,new_repr,Rau Fractions Dataset Fall 2011 (condition WE),Opportunity (new_repr),KC (new_repr),ds566_student_step_All_Data_1792_2016_0419_091133
567,Default_reprType_topic,Rau Fractions Dataset Fall 2011 (condition WE MIX),Opportunity (Default_reprType_topic),KC (Default_reprType_topic),ds567_student_step_All_Data_1816_2016_0419_093248
605,KTracedSkills-Concatenated,Cog Model Discovery Experiment Fall 2011,Opportunity (KTracedSkills-Concatenated),KC (KTracedSkills-Concatenated),ds605_student_step_All_Data_1865_2018_0823_223003
1935,LFASearchBICModel1-PVfixed-models uploaded,OLI STEM Readiness - Spring 2013,Opportunity (LFASearchBICModel1-PVfixed-models uploaded),KC (LFASearchBICModel1-PVfixed-models uploaded),ds1935_student_step_All_Data_3680_2017_0228_022507
1305,teaTitle,Discovery_forLearnLab_TEI_Feeback_20150713,Opportunity (teaTitle),KC (teaTitle),ds1305_student_step_All_Data_2892_2016_0513_071522
1330,CCSS standard,Discovery_forLearnLab_Standards_20150714,Opportunity (CCSS standard),KC (CCSS standard),ds1330_student_step_All_Data_2920_2016_0407_103034
,,,,,
