"Dataset","model_AIC","model_BIC","model_logLik","maineffect_slope"
"ds271","1256.8153861942","1296.86169834823","-620.407693097099","0.000215667782363066"
"ds104","6924.40848118582","6978.10266235067","-3454.20424059291","0.00165588226866499"
"ds1899","5504.84185440228","5556.86660853857","-2744.42092720114","1.89810858770891e-05"
"ds1330","50876.6648609476","50945.3107328162","-25430.3324304738","-0.0545337454124945"
"ds1980","6854.04671681996","6908.39561339267","-3419.02335840998","0.0159824055149891"
"ds1935","8078.68209509776","8135.18702031552","-4031.34104754888","0.00371628612064529"
"ds99","14871.7463859066","14933.8918511907","-7427.87319295331","0.000200292073864024"
"ds372","6230.4185993698","6285.392887123","-3107.2092996849","0.0166954797839282"
"ds562","58455.2043446096","58525.5582230891","-29219.6021723048","0.000112976541482876"
"ds253","14958.8912711312","15019.7507689746","-7471.44563556562","-0.0272119491274788"
"ds563","58890.5313525562","58961.9110423046","-29437.2656762781","0.000271573300051544"
"ds564","68441.3083962262","68514.1754356976","-34212.6541981131","-4.69248350309348e-06"
"ds565","60826.5007779775","60898.2391886628","-30405.2503889888","0.000168352078004403"
"ds115","21321.9129105857","21384.733832363","-10652.9564552929","0.06068491850032"
"ds566","64062.5830421194","64135.1192734079","-32023.2915210597","0.000100432482945258"
"ds567","52715.6148521439","52785.9295697061","-26349.807426072","0.000113104828216932"
"ds392","30636.9868333133","30706.0740614895","-15310.4934166567","0.0177189871344901"
"ds394","5556.65115288465","5609.93873012514","-2770.32557644233","0.0159204222680697"
"ds1305","51552.3722691674","51621.0181410359","-25768.1861345837","0.01152309958819"
"ds605","3450.67197989439","3503.12482944457","-1717.3359899472","0.000626600710476754"
"ds445","5021.59088900281","5072.57192692461","-2502.79544450141","0.0128430346746994"
"ds308","3107.69133242542","3158.34209582419","-1545.84566621271","9.50590899749698e-05"
