"Dataset","model_AIC","model_BIC","model_logLik","maineffect_intercept","maineffect_slope","intercept_p","slope_p","mad_main","rmse"
"ds4555","36766.6099071646","36833.6073309827","-18375.3049535823","-0.0106992512504677","0.0372299507673208","0.951615730191761","3.41164604552147e-08","0.188996383268427","0.43473714272929"
"ds271","1251.05112616223","1291.09743831626","-617.525563081115","-0.67408884094361","0.0592068466000359","0.14374710128657","0.196574270433639","0.151206616566209","0.38885294979749"
"ds104","6924.77762426607","6978.40567842191","-3454.38881213304","1.18620823280656","0.0724796506746201","0.00214390033122512","0.522421381985544","0.183183067458426","0.427998910580887"
"ds605","3319.24982345318","3371.57084875477","-1651.62491172659","1.5076161440591","0.0875544288021471","1.39925483621279e-09","2.12302468947498e-11","0.0876018120145446","0.29597603283804"
"ds99","14493.7023498769","14555.8345234566","-7238.85117493843","0.577386216238395","0.112302465275808","0.00217433392633746","1.96692732025674e-12","0.129184882079236","0.359422984906692"
"ds1980","6876.72612981954","6931.07502639226","-3430.36306490977","0.301824804842393","0.149746964283402","0.412691920546005","3.38533098517654e-05","0.158057553600996","0.397564527593944"
"ds115","20699.651865238","20762.4098294981","-10341.825932619","-1.03271161046556","0.883118159158054","1.00295641600681e-15","4.74894731089662e-141","0.17211186571608","0.414863671241626"
"ds1899","5503.60659707182","5555.63135120811","-2743.80329853591","-0.374307559864076","0.1335434317189","0.420742463903802","0.0036639168318975","0.155115137334237","0.39384659111669"
"ds372","6238.6708955287","6293.64518328191","-3111.33544776435","1.00937457167326","0.145496945192347","0.000310975236124892","6.40212391497519e-05","0.131077891177895","0.362046807992965"
"ds445","4929.41559171125","4980.29990676221","-2456.70779585562","-0.505426731627945","0.290172766293987","0.019828590968164","0.00378579202749637","0.17977854623433","0.424003002624192"
"ds447","86850.7060808009","86926.1482556157","-43417.3530404004","0.651955141301182","0.0797834500124534","2.2485742483645e-08","4.38884405318796e-26","0.150843986642856","0.388386388333649"
"ds531","109995.953496032","110073.333211703","-54989.9767480161","0.77537915958239","0.039729585172326","1.43392656693331e-10","6.50295668308269e-18","0.151783209657999","0.389593646839882"
"ds1387","3261.87350993967","3312.0438511635","-1622.93675496983","0.931280892755546","0.324254277544382","7.08778422640866e-05","3.44836249989039e-07","0.119007747399094","0.344974995324435"
"ds392","29083.8566821414","29152.9439103176","-14533.9283410707","1.29732313642811","0.150538128755749","5.30951621295489e-08","6.11119792946062e-18","0.101821130458185","0.31909423444836"
"ds562","57388.7312232883","57459.041486094","-28686.3656116442","0.470068855215082","0.0613207375073418","7.81658130917875e-05","0.00928188598082967","0.198566526357499","0.445608041172395"
"ds563","58290.5695273208","58361.9492170691","-29137.2847636604","0.677313487428699","0.0594671252050506","5.55234963679086e-05","3.71560794419051e-06","0.171986028792356","0.414711982937985"
"ds308","3034.30757243969","3084.95833583846","-1509.15378621985","0.637544382741505","0.466859645083238","0.258141053438451","0.08495571880278","0.100796641662734","0.317484868399636"
"ds394","5535.86739571028","5589.15497295077","-2759.93369785514","0.780801631792131","0.155792455683776","0.00176376700274154","0.000943049849752052","0.141872712375087","0.376659942620777"
"ds564","67448.344741737","67521.1653694151","-33716.1723708685","0.535890590721366","0.0144023206727418","0.00124229555409221","0.538283273435571","0.167301471685113","0.409025025744286"
"ds565","59660.9779384649","59732.7163491502","-29822.4889692325","0.52911149571114","0.0941815821886475","9.09139132935408e-05","3.26803077688829e-13","0.165967484006405","0.407391070111269"
"ds566","63961.7633662684","64034.2848397126","-31972.8816831342","0.91911789499725","0.0708507501997534","2.79837967750464e-08","0.00759406568749364","0.164283730478994","0.405319294481516"
"ds567","48928.4592512638","48998.321502886","-24456.2296256319","0.774861781956099","0.122545762715645","2.80316362299888e-10","0.00258962752259264","0.171347870235667","0.413941868184009"
"ds1935","7993.61202407172","8050.08909410813","-3988.80601203586","1.05549253309177","0.157698210046819","0.0556217855842239","0.0231126187606294","0.142998764990734","0.378151775072833"
"ds1330","49672.5271913042","49741.0849986365","-24828.2635956521","0.421688460484507","0.0279812973259857","0.00400749226722967","0.801560616537763","0.199422699371483","0.446567687334723"
"ds1007","3658.1403002602","3710.37801603596","-1821.0701501301","0.223813840811364","0.0830741907909732","0.765782064007416","1.90489296014241e-06","0.102470314449198","0.320109847473016"
"ds1943","126299.432592432","126378.015614081","-63141.716296216","0.902234315940833","0.0495597946587542","0.000102025889136801","5.04539731717892e-05","0.148038296369716","0.384757451350478"
"ds406","426081.197813091","426169.158324725","-213032.598906545","0.635612015089164","0.135361396087019","0.0440602499151374","0.00515928769190261","0.155727837670169","0.394623665876958"
"ds253","14525.6563622531","14586.5158600964","-7254.82818112657","0.843025133424487","0.0449094319513231","0.00266189700511934","4.33153911125014e-08","0.156538898366473","0.395649969501418"
