"Dataset","Type","Student","Intercept","Slope"
"ds104","Student","Stu_05ab66fb59c3daeaf6de4f1149cf5f9c","0.625848973758001","-0.0150340722844282"
"ds104","Student","Stu_074024a6c97f627f288ae28e86c37bf3","0.05068746288404","0.0194356239307287"
"ds104","Student","Stu_0f06ed58686471d9b227e80e077f0424","-0.216233183160812","0.00354876299635573"
"ds104","Student","Stu_0ffb45cf505cfbc7de3f3d41f8354d24","0.505892830675925","0.00175932861944228"
"ds104","Student","Stu_14dcb0a3f7d28a5917903d16f1f0345e","0.138638664266882","-0.00108786901729743"
"ds104","Student","Stu_15e275259b046df9885c187fc0cec7d1","0.361531399450284","-0.000888986829966721"
"ds104","Student","Stu_1c1005660e379a642f7f7e073ee28a2e","0.787600268998174","0.0132018153381924"
"ds104","Student","Stu_1c9535a1b1c55404b3b56c0126dc9b9c","0.0353212663072753","0.000376066911730666"
"ds104","Student","Stu_1ebb3b0a610fcf14b32b0a0349b8823d","-0.305969512894503","0.00594737544353864"
"ds104","Student","Stu_1fd226d9b77d6e4f72012f90386c904a","-0.215986355088176","0.00332480235934107"
"ds104","Student","Stu_212d07ed66dd7f62493b0eeae8c20a1e","-0.204555340601794","-0.0129945919430705"
"ds104","Student","Stu_2393de512fa3dd4d211950f3cd5db42e","-0.761630180311715","0.00352326622695019"
"ds104","Student","Stu_264400fad6c8afaed08777ea40511e31","0.439099133712382","-0.00162419935757138"
"ds104","Student","Stu_2ff777c6635c43e5d4b12a601774bc20","0.144316678544922","0.0120967962223798"
"ds104","Student","Stu_3052106ae3266694fd73d1655c9793d4","-0.0735694368329214","-0.00393060134645815"
"ds104","Student","Stu_3080e0d9e3b8e933056ecda61e502bb0","-0.401378184213726","-0.00318339984265572"
"ds104","Student","Stu_3450e76a9e9e688a7337e3cbc03e97fb","-0.841182465405233","0.0096126504829048"
"ds104","Student","Stu_34ab397a08b8ff8b4ddb78a77abf2a0e","0.61248969665236","-0.00764519442231158"
"ds104","Student","Stu_3691db70b2b4b0b007cf5d871fce5288","0.712457091691813","-0.00921504669510393"
"ds104","Student","Stu_3b1595ac6682dcbb53ef9f866fc4afce","-1.10992308976375","0.00227339102407024"
"ds104","Student","Stu_3e8f0d079dcb903175d80a19b6f42c92","-0.0803001060424359","-0.00207466495106096"
"ds104","Student","Stu_3fe6d313e9466f655e1ad1f7783e88fe","-0.580661213374832","0.00611375250101625"
"ds104","Student","Stu_43b4e08f1fbdbfe2f7c9b551c85b43d3","0.31636820365621","-0.00248081956041003"
"ds104","Student","Stu_43d40553c42b7102947855f4af8bdafb","0.171981438836158","-0.00830989591694558"
"ds104","Student","Stu_47c5ad6372c5e8c95ddb416b850b83b3","0.331473743853679","0.00511710312166873"
"ds104","Student","Stu_4e57c22a453853959c5cb4e9bb6f1444","0.459899618251728","0.00729678237330165"
"ds104","Student","Stu_5059f8f8e2965458c47023fb052e13fb","0.65461023246408","0.00216048518680054"
"ds104","Student","Stu_521b6c2924daac25ac846836eabadfa9","-0.0363974978610886","0.0025130759699071"
"ds104","Student","Stu_522c051b94c5c96b1f4c0981f1555466","0.503958395690269","0.00398358259761573"
"ds104","Student","Stu_55044f038c346a3b823d972c4cd28306","-0.495121443124988","0.00559536280923544"
"ds104","Student","Stu_58620b7004c9fd19e0d024901fddbbe5","0.195503300271413","0.0113280674912251"
"ds104","Student","Stu_59f88d48f6cd9c48bccd8dde03a1da3d","0.0242108783858974","-0.0138596919755357"
"ds104","Student","Stu_5e17090784717fabdf3e311e7c19be7f","0.0955564203116469","-0.0091400923797062"
"ds104","Student","Stu_5e39b6235831ca4dd469cbfed70fa19f","0.357191603438325","-0.0174533572592476"
"ds104","Student","Stu_5f2f5328ed790e7b4b6e793e8b6b9707","-0.326668897560568","0.00861167579379503"
"ds104","Student","Stu_5f94ea02b873bf4b6daa4625385e28d9","0.666760099671098","-0.00541885033580923"
"ds104","Student","Stu_61b3df50ac48e568821c6bce350c4073","-1.32068845955486","0.0136276724881207"
"ds104","Student","Stu_626a307c8129fa533e5fb242d3fe6e49","-0.0724200838805053","0.00749758733842622"
"ds104","Student","Stu_63d21403821b334a50473a3567e4b4f0","0.565767209774371","-0.015199508638348"
"ds104","Student","Stu_65c466bb15984c79b2152eb539a7a4f2","0.450980625086157","0.0025833740981158"
"ds104","Student","Stu_6638d6f73a1e9e6a650af4787b3fc103","0.307655965090868","5.59557150677566e-06"
"ds104","Student","Stu_669a086bc43019f8049b5b804f877550","0.354223398270018","-0.00814014961348786"
"ds104","Student","Stu_68141ac4be9c16fd6c548900eafd8ac0","-0.872037265967605","0.0127470241756263"
"ds104","Student","Stu_6d0a294380bd9afb0d6412c7ec4cddca","-0.294025345968888","-0.0162459418170425"
"ds104","Student","Stu_72bf1d76785aea9ef44a000f182fced6","0.277307173401218","-0.0157782848281574"
"ds104","Student","Stu_75bd334c752d0171576cc89fbfe4aa82","0.814075796979226","-0.0117458016661649"
"ds104","Student","Stu_7655499a3faad04774646a0d75de2ad8","0.658876478564009","-0.0120260301585987"
"ds104","Student","Stu_7662f2fee5198418116bb156fdb40711","1.44770283992004","-0.00366534992561749"
"ds104","Student","Stu_772964e89ddfa3574562d856b80bd92f","-0.474487585855178","0.00508860229609"
