"Dataset","model_AIC","model_BIC","model_logLik","maineffect_slope"
"ds605","3718.84969669442","3771.3025462446","-1851.42484834721","-0.0616998863523409"
"ds445","5033.04517809653","5084.02621601833","-2508.52258904826","0.000864373683563081"
"ds372","6267.86727323745","6322.84156099066","-3125.93363661873","0.000838087109830165"
"ds392","33993.915831362","34063.0030595381","-16988.957915681","-0.157200097534689"
"ds394","5569.39510360144","5622.68268084192","-2776.69755180072","0.00114819730160354"
"ds115","21285.7571928559","21348.5781146332","-10634.878596428","0.0135950170643532"
"ds271","1316.93596189233","1356.98227404636","-650.467980946166","0.000441049480422103"
"ds1980","6886.509764131","6940.85866070372","-3435.2548820655","0.000944567433004282"
"ds563","60491.5929777806","60562.9726675289","-30237.7964888903","-0.088124363586645"
"ds565","61092.5036879336","61164.2420986189","-30538.2518439668","-5.69510447658179e-06"
