"Dataset","model_AIC","model_BIC","model_logLik","maineffect_intercept","maineffect_slope"
"ds99","14863.2696403131","14909.8787392762","-7425.63482015656","0.768827731601064","1.61050131543452e-05"
"ds392","29993.4344952121","30045.2499163442","-14990.7172476061","1.59672526141202","2.57128255219758e-05"
"ds394","5569.47348175173","5609.43916468209","-2778.73674087586","0.870505305377473","0.045553651519482"
"ds271","1252.38694849819","1282.42168261372","-620.193474249097","-0.541573745322855","1.1130674303131e-05"
"ds1899","5504.99975353258","5544.0183191348","-2746.49987676629","-0.282265981544893","1.02739250340641e-05"
"ds605","3426.5320640786","3465.87170124123","-1707.2660320393","1.56890055147164","0.000151236900179545"
"ds562","58503.4688577981","58556.2342666578","-29245.7344288991","0.524187883883684","1.1174580444128e-05"
"ds563","58966.7798203319","59020.3145876432","-29477.389910166","0.918269503254028","2.90949973179879e-05"
"ds564","68558.9580178334","68613.6082974369","-34273.4790089167","0.452635630595371","-3.47769867885727e-06"
"ds565","60977.2057918784","61031.0095998924","-30482.6028959392","0.88939608324589","2.24200924747762e-05"
"ds115","21240.2139524531","21287.3296437861","-10614.1069762266","-1.0117197082885","0.970560320908868"
"ds566","64264.145611272","64318.5477847384","-32126.072805636","1.10465817944788","9.48948899569798e-06"
"ds1305","51384.3644243429","51435.8488282443","-25686.1822121715","0.275503195139219","-6.16182491321899e-07"
"ds372","6257.10516362067","6298.33587943557","-3122.55258181033","1.06931803766925","0.0443689804411259"
"ds1980","6884.21917919159","6924.98085162113","-3436.10958959579","0.638373535907256","0.0405524369861536"
"ds445","5035.27956944333","5073.51534788468","-2511.63978472167","-0.291964187260499","0.0429217503477985"
"ds253","14658.4243383996","14704.0689617821","-7323.21216919982","1.00995063096092","9.2876352588096e-06"
"ds104","6948.58060195298","6988.85123782661","-3468.29030097649","0.483122776645914","0.00102338141245227"
