"Dataset","model_AIC","model_BIC","model_logLik","maineffect_intercept","maineffect_slope","intercept_p","slope_p","mad_main","rmse"
"ds392","29980.9562343212","30032.7716554533","-14984.4781171606","1.71668348473977","2.54529722406222e-05","1.76881851774699e-15","8.65466540505921e-05","0.106755942850989","0.326735279470994"
"ds394","5569.47348175372","5609.43916468408","-2778.73674087686","0.870484042218799","0.0455541625572928","0.001146872230256","0.0097082623687629","0.144563845150234","0.380215524604446"
"ds1935","8034.8495212685","8077.20732379581","-4011.42476063425","1.2885877911081","-3.30371180140685e-06","5.93267671260274e-05","0.484557127688075","0.145023766433796","0.380819860870984"
"ds605","3345.59027560053","3384.83104457672","-1666.79513780027","1.50882285055668","0.000162716850300265","5.5465016908709e-06","0.0273961732620689","0.0887690356488611","0.297941329205703"
"ds1387","3268.30607152311","3305.93382744098","-1628.15303576155","0.996172217521645","0.0449264655499146","1.55425471950976e-05","1.19894493992889e-06","0.119612006545225","0.345849687791134"
"ds115","21154.278722294","21201.3471954891","-10571.139361147","-0.9766054212373","0.96071407727626","7.38422735382028e-14","5.49156122395336e-113","0.176808705786918","0.420486273006525"
"ds445","4973.31566870432","5011.47890499254","-2480.65783435216","-0.385265874868217","0.0433925334011618","0.0908186080191144","0.000239062384685577","0.183230940132342","0.428054833090741"
"ds372","6257.10723530616","6298.33795112106","-3122.55361765308","1.06960936805623","0.0443447545925499","8.34484705624711e-05","5.0043849709881e-05","0.132897077194315","0.364550513913113"
"ds447","88876.4757917102","88933.0574228213","-44432.2378958551","1.05762003827502","3.68154627590767e-05","4.79719684827878e-13","6.81316465764322e-05","0.154279273899503","0.392784004128863"
"ds99","14831.0736872679","14877.6728174527","-7409.53684363397","0.817286016536598","1.62280248277529e-05","7.43493206145718e-06","2.80036919550313e-07","0.133811405468192","0.365802413152499"
"ds104","6913.23497321704","6953.45601383392","-3450.61748660852","1.23938550404167","0.000160713976155567","0.0019363388115291","0.977171127241314","0.18530082561118","0.430465823975818"
"ds1980","6917.85656591971","6958.61823834925","-3452.92828295985","0.390012254770027","0.0632099981835146","0.296895206629617","0.00764408096781947","0.159195432128924","0.398993022656943"
"ds562","58149.5229791484","58202.2556762526","-29068.7614895742","0.544899125533969","1.01603573925879e-05","4.52381611642421e-05","0.513103887257149","0.203006957465312","0.450562933967401"
"ds563","58966.9097798613","59020.4445471726","-29477.4548899307","0.9182456446865","2.90962070659869e-05","7.31975062306621e-12","0.0119739567982962","0.175090011781682","0.418437584093115"
"ds564","68116.1398055931","68170.7552763518","-34052.0699027966","0.524937077148067","-1.16226365991377e-06","0.00287406834690322","0.942044728411494","0.169738157988682","0.411992910119437"
"ds565","60977.2057936935","61031.0096017075","-30482.6028968468","0.889396109701082","2.24202418348688e-05","5.31763012849717e-06","0.0498224436025469","0.171176620742784","0.413734964370651"
"ds566","64181.6253328044","64236.0164378876","-32084.8126664022","1.05562677010762","9.79311080327966e-06","1.7513257944144e-06","0.187806877116603","0.165647220667632","0.40699781408213"
"ds567","49705.862907586","49758.2595963027","-24846.931453793","0.813928451578246","-6.35301846646403e-07","6.47080466353926e-06","0.971676756536431","0.177382231214469","0.421167699633375"
"ds1007","3762.02445685017","3801.20274368199","-1875.01222842508","0.668225408308951","6.37377461335274e-05","0.270968529134475","1.45148451294775e-07","0.107831083232798","0.32837643525807"
"ds4555","37062.4360829225","37112.6841507861","-18525.2180414612","0.0593172075670132","2.24456161527726e-05","0.788342479401246","1.1838877954065e-05","0.192122853389101","0.43831821019563"
"ds271","1252.14977713882","1282.18451125435","-620.074888569412","-0.543243239999172","1.1568430790251e-05","0.28386866255306","0.962697207048945","0.152558759653004","0.390587710576004"
"ds1899","5504.97490268331","5543.99346828553","-2746.48745134165","-0.282441368649298","1.09380201159859e-05","0.319739579939893","0.622277341055853","0.155998179609951","0.394966048680075"
"ds253","14658.4731771356","14704.1178005181","-7323.2365885678","1.00814149486669","9.34060386876816e-06","5.17322797583952e-05","0.0268470671000537","0.158892053999546","0.398612661614689"
