"Dataset","Type","Student","Intercept"
"ds4555","Student","Stu_00e7976d1e35e69629ea814e7663ae6b","0.221163038156645"
"ds4555","Student","Stu_02ed92b332024cc68a4c042697b1c57c","0.647998119770117"
"ds4555","Student","Stu_0579ea4e9dd6bcf83463cd55a419fd79","-1.74442198199898"
"ds4555","Student","Stu_05bdce2051525a38318a7eb7f95eec84","0.272423458240453"
"ds4555","Student","Stu_065c3c6616e42d1fddfbb9547974ba8c","-0.0715825983317452"
"ds4555","Student","Stu_0788b750fead0fb0997d51675227d707","0.813745537617617"
"ds4555","Student","Stu_0892bfc0a300449a95aa3b51a7a8a213","0.954260725069466"
"ds4555","Student","Stu_0ac8dd125ce01465481816664835ad25","-0.403352233377313"
"ds4555","Student","Stu_10dd499fee6bd8bb2c1eea42a810318f","-0.072824557285424"
"ds4555","Student","Stu_112de5785893a1668464a9f04fd68ce3","0.677849464630403"
"ds4555","Student","Stu_130760ea9f6850f627a910c9839cde05","0.623773749347457"
"ds4555","Student","Stu_13c125b139e3cbc62efa425c062051ac","-0.356334483326161"
"ds4555","Student","Stu_19808bfa2b33793e5785145aca7cc154","0.921496249413257"
"ds4555","Student","Stu_19c2de11cf68fe066d4e9f1d11e58295","-0.89508610980754"
"ds4555","Student","Stu_1cc03f4304da464360fd2348dc1328bb","-0.334997561110382"
"ds4555","Student","Stu_1cd831726097262ca252895c1ce15b65","0.101227533960992"
"ds4555","Student","Stu_21a7b20d5033b98eadb8ee2e17b1c1f5","0.397327116434696"
"ds4555","Student","Stu_2304e9302c75f3332bc08b3496f55bbb","0.545102453182686"
"ds4555","Student","Stu_23d4ed90ea82b4569b311b75d3745daf","-0.125366112731602"
"ds4555","Student","Stu_23da233bc3f15bbc106b57eeed6fb430","0.0276136666816971"
"ds4555","Student","Stu_2519ce6f2f9ab42567d0cc71e043b924","0.888478340116216"
"ds4555","Student","Stu_28e8d3617e92e05a10c014cceff01691","0.238070764448997"
"ds4555","Student","Stu_2d81b94a0c2469ecfd4f04b7a3b7fb7e","0.723548641181096"
"ds4555","Student","Stu_301e0e80d764ca05223a54499b673828","0.554893999008652"
"ds4555","Student","Stu_33227e866c90730c0e2093fef7827966","1.07506673359994"
"ds4555","Student","Stu_34ad14f9b43563f9b19fbdcbb928241b","-2.1814634349068"
"ds4555","Student","Stu_3535f67de4026f471a749d54c9198e43","-0.752451608822322"
"ds4555","Student","Stu_36cb26d2ceca8c51e47144ecee28265e","0.434152192381403"
"ds4555","Student","Stu_3710014674db2b885f194901d461c39f","0.261104682989227"
"ds4555","Student","Stu_39d4dc3a919b4b44a14157ff3294e3c7","0.641601309935631"
"ds4555","Student","Stu_3b04f7d0fb7f193d7fed4683255f66a9","1.45821088623378"
"ds4555","Student","Stu_419a573c691111abc9efc21c6bb1c7d8","-0.408517434642614"
"ds4555","Student","Stu_43fd77bc36575e274d3f505fb5153b07","-0.225540943939515"
"ds4555","Student","Stu_473ea42b71b1880a53e4318799a36d36","-0.113852085740074"
"ds4555","Student","Stu_47ac4bd3b3803b05034c5e5e77453aeb","-0.279446740209182"
